"ID","Name","Date Created","Last Updated"
"1","MOMBASA","23/08/2021","23/08/2021"
"2","KWALE","23/08/2021","23/08/2021"
"3","KILIFI","23/08/2021","23/08/2021"
"4","TANA RIVER","23/08/2021","23/08/2021"
"5","LAMU","23/08/2021","23/08/2021"
"6","TAITA TAVETA","23/08/2021","23/08/2021"
"7","GARISSA","23/08/2021","23/08/2021"
"8","WAJIR","23/08/2021","23/08/2021"
"9","MANDERA","23/08/2021","23/08/2021"
"10","MARSABIT","23/08/2021","23/08/2021"
"11","ISIOLO","23/08/2021","23/08/2021"
"12","MERU","23/08/2021","23/08/2021"
"13","THARAKA-NITHI","23/08/2021","23/08/2021"
"14","EMBU","23/08/2021","23/08/2021"
"15","KITUI","23/08/2021","23/08/2021"
"16","MACHAKOS","23/08/2021","23/08/2021"
"17","MAKUENI","23/08/2021","23/08/2021"
"18","NYANDARUA","23/08/2021","23/08/2021"
"19","NYERI","23/08/2021","23/08/2021"
"20","KIRINYAGA","23/08/2021","23/08/2021"
"21","MURANG'A","23/08/2021","23/08/2021"
"22","KIAMBU","23/08/2021","23/08/2021"
"23","TURKANA","23/08/2021","23/08/2021"
"24","WEST POKOT","23/08/2021","23/08/2021"
"25","SAMBURU","23/08/2021","23/08/2021"
"26","TRANS NZOIA","23/08/2021","23/08/2021"
"27","UASIN GISHU","23/08/2021","23/08/2021"
"28","ELGEYO/MARAKWET","23/08/2021","23/08/2021"
"29","NANDI","23/08/2021","23/08/2021"
"30","BARINGO","23/08/2021","23/08/2021"
"31","LAIKIPIA","23/08/2021","23/08/2021"
"32","NAKURU","23/08/2021","23/08/2021"
"33","NAROK","23/08/2021","23/08/2021"
"34","KAJIADO","23/08/2021","23/08/2021"
"35","KERICHO","23/08/2021","23/08/2021"
"36","BOMET","23/08/2021","23/08/2021"
"37","KAKAMEGA","23/08/2021","23/08/2021"
"38","VIHIGA","23/08/2021","23/08/2021"
"39","BUNGOMA","23/08/2021","23/08/2021"
"40","BUSIA","23/08/2021","23/08/2021"
"41","SIAYA","23/08/2021","23/08/2021"
"42","KISUMU","23/08/2021","23/08/2021"
"43","HOMA BAY","23/08/2021","23/08/2021"
"44","MIGORI","23/08/2021","23/08/2021"
"45","KISII","23/08/2021","23/08/2021"
"46","NYAMIRA","23/08/2021","23/08/2021"
"47","NAIROBI","23/08/2021","23/08/2021"
